City/Town,Dropbox Address,Instructions,Instructions Part 1,Concatenated,Election Office,Number,QAer,Zip,How was this information gathered?(inlcude link if found on web),Name ,Email,Campaign Email Info,Campaign Number Info,No Drop Box Ask,Where is the Drop Box located?,Has Dropbox? ,No Info
FALL RIVER,1 Government Center,"The dropbox is located inside the lobby of the government center. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located inside the lobby of the government center.,"The dropbox is located inside the lobby of the government center. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-324-2630,Ahmad,,,,ksouza-young@fallriverma.org,city_clerks@fallriverma.org,508-324-2220,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BERKLEY,1 North Main Street,"The dropbox is located outside of the front enterance of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located outside of the front enterance of the town hall. ,"The dropbox is located outside of the front enterance of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-822-3348,Ahmad,,,,townclerk@berkleyma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
AUBURN,104 Central St.,"There is no dropbox; you must sumbit your ballot to the mail slot of the entrance nearest the accessibility ramp. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There is no dropbox; you must sumbit your ballot to the mail slot of the entrance nearest the accessibility ramp.,"There is no dropbox; you must sumbit your ballot to the mail slot of the entrance nearest the accessibility ramp. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-832-7701,Ahmad,,,,dgremo@town.auburn.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
YARMOUTH,1146 Route 28,"The dropbox is located at the side entrance of the building. Do not put ballots in the USPS mail box at the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located at the side entrance of the building. Do not put ballots in the USPS mail box at the front door.,"The dropbox is located at the side entrance of the building. Do not put ballots in the USPS mail box at the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-398-2231 x 1216,Ahmad,(zero)2644,email,Susan Regan,sregan@yarmouth.ma.us,pgaudet@yarmouth.ma.us,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
SOUTH HADLEY,116 Main Street,"The dropbox is located right outside of the town office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located right outside of the town office.,"The dropbox is located right outside of the town office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-538-5017 x 115,Ahmad,(zero)1075,southhadley.org/DocumentCenter/View/6843/Fall-2020-Elections-Voter-Options-Guide-912020,Carlene Hamlin,chamlin@southhadleyma.gov,sgmeiner@southhadleyma.gov,413-538-5017,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
SUNDERLAND,12 School Street,"The dropbox is located at the rear of the town office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located at the rear of the town office.,"The dropbox is located at the rear of the town office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-665-1442,Ahmad,(zero)1375,email,,townclerk@townofsunderland.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
WARE,126 Main St.,"The dropbox is located at the lower level offices of the town hall. Voters should bring their ballots during daytime hours, Monday through Friday, rather than leave them overnight or on the weekend. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is located at the lower level offices of the town hall. Voters should bring their ballots during daytime hours, Monday through Friday, rather than leave them overnight or on the weekend.","The dropbox is located at the lower level offices of the town hall. Voters should bring their ballots during daytime hours, Monday through Friday, rather than leave them overnight or on the weekend. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-967-9648 x 103,Ahmad,(zero)1082,email,,ntalbot@townofware.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
ACUSHNET,130 Main Street,"The dropbox is located outside and to the right of the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located outside and to the right of the front door.,"The dropbox is located outside and to the right of the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-998-0215,Ahmad,,,,plabonte@acushnet.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
QUINCY,"1305 Hancock St, 2nd floor, Quincy","There are two dropboxes; one is outside and to the right of the city clerk's office, the other is inside the office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","There are two dropboxes; one is outside and to the right of the city clerk's office, the other is inside the office.","There are two dropboxes; one is outside and to the right of the city clerk's office, the other is inside the office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",617-376-1131,Ahmad,,Nolan O'brien,Nicole L. Crispo,ncrispo@quincyma.gov,ncrispo@quincyma.gov,,,,Yes,
EASTON,136 Elm Street,"You can drop your ballots in the dropbox located by the front door of the Town Offices You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",You can drop your ballots in the dropbox located by the front door of the Town Offices,"You can drop your ballots in the dropbox located by the front door of the Town Offices You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-230-0530,Malia,,,Danielle Sicard,townclerksoffice@easton.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
WENHAM,138 Main Street,"The dropbox is to the right of the main entrance of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is to the right of the main entrance of the town hall.,"The dropbox is to the right of the main entrance of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-468-5520 x 1,Ahmad,(zero)1984,email,,dbucco@wenhamma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
ROWLEY,139 Main Street,"The dropbox is at the foot of the stairs on the side of the building facing the cemetery You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is at the foot of the stairs on the side of the building facing the cemetery,"The dropbox is at the foot of the stairs on the side of the building facing the cemetery You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-948-2081,Ahmad,(Zero)1969,phone call with town clerk,,townclerk@townofrowley.org,,(978) 948-2081,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
MARLBOROUGH,140 Main Street ,"The dropbox is located inside the city clerk's office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located inside the city clerk's office.,"The dropbox is located inside the city clerk's office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-460-3775,Ahmad,1752,From volunteer (Barb Allen),Steven W. Kerrigan,cityclerk@marlborough-ma.gov,cityclerk@marlborough-ma.gov,(508) 460-3775,,,Yes,
SOMERSET,140 Wood Street,"The dropbox is located at the parking lot of the town office, nearest of the elevator lobby. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is located at the parking lot of the town office, nearest of the elevator lobby.","The dropbox is located at the parking lot of the town office, nearest of the elevator lobby. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-646-2818,Ahmad,(zero)2726,email,Dolores Berge,dberge@town.somerset.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
SANDWICH,145 Main Street,"The dropbox is by the sidewalk just outside of building's main entrance. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is by the sidewalk just outside of building's main entrance.,"The dropbox is by the sidewalk just outside of building's main entrance. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-888-0340,Ahmad,2563,,,townclerk@sandwichmass.org,townclerk@sandwichmass.org,508-888-0340,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
MONTGOMERY,161 Main Road ,"The dropbox is by the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is by the front door.,"The dropbox is by the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-862-4478,Ahmad,1085,SOS,,montgomerymass@rcn.com,,,,,Yes,
LUNENBURG,17 Main Street,"The dropbox is to the right of the main entrance. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is to the right of the main entrance.,"The dropbox is to the right of the main entrance. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-582-4130 x 4,Ahmad,1462,City Outreach Project,,townclerk@lunenburgonline.com,,,,,Yes,
MENDON,20 Main St.,"Place ballots in the dropbox that is located to the right of the entrance of town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",Place ballots in the dropbox that is located to the right of the entrance of town hall.,"Place ballots in the dropbox that is located to the right of the entrance of town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-473-1085,Malia,,,,townclerk@mendonma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
SOUTHAMPTON,210 College Hwy,"The dropbox is at the bottom of the main stairs of the town hall beside the town clerk's office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is at the bottom of the main stairs of the town hall beside the town clerk's office.,"The dropbox is at the bottom of the main stairs of the town hall beside the town clerk's office. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-527-8392,Ahmad,(zero)1073,email,Luci Dalton,townclerk@townofsouthampton.org,townclerk@townofsouthampton.org,413-527-8392,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
TRURO,24 Town Hall Rd,"The dropbox is outside and to the left of the front entrance of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is outside and to the left of the front entrance of the town hall.,"The dropbox is outside and to the left of the front entrance of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-349-7004 x 114,Ahmad,,,,caslade@truro-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
TOLLAND,241 W. Granville Rd.,"There is no dropbox; you must drop your ballot in the slot at the front entrance, facing Route 57.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","There is no dropbox; you must drop your ballot in the slot at the front entrance, facing Route 57. ","There is no dropbox; you must drop your ballot in the slot at the front entrance, facing Route 57.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-258-4794 x 102,Ahmad,(zero)1034,email,Susan Voudren,townclerk@tolland-ma.com,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,
